tweet,label
"deep talk ternyata sepenting itu , dan selalu merasa terharu setelahnya. 🥺",Positif
"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, ill fight",Negatif
"baca deh komen-komen di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",Positif
"love language yang paling enggak gue banget word of affirmation, tapi gue kadang tipe orang yang mengasih love language word of affirmation ternyata. hmmm",Positif
literally almost everytime😌,Netral
variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,Netral
berakti **** loves me sok much itu is impossible for me tapi die and my life there is no other reason except **** wants tapi take me only **** can be closer tapi me and love me even more thats what **** did because there was a certain origin **** took me because he loves me,Positif
"sudah jelas dibio ditulis, tapi masih match yaudah tapi the point saja wkwkwk, tapi maksa banget buat gue jadi top, akkk tida bisa 😭😭😭😭😭",Negatif
probably bikin twitter circle for sambat pekerjaan purpose only,Negatif
"looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you 💗 let’s walk together ini the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘",Positif
kalo sudah mulai overthinking suka sesek di tenggorokan. kayak yang mau menangis saja begitu ☹☹,Negatif
**** my heart misses him sok much even though my heart is broken tapi sih him happy with another woman,Negatif
healing bersama ayanggg,Positif
"“the sight of an indigo sky was beautiful. itu was when darkness allowed light tapi shine for a while.”nimisha toshniwal 🙏🎁💙 @ badung, bali, indonesia",Positif
"ㄴㅇㅅㅌ terima kasih ya kalian itu fandom terbaik! enggak pernah ribet, enggak pernah ribut, bawaanya santuy, fokez sama our boys doang enggak pernah babibu bacot war wor war wor enggak **** 🙏🏻 aku berada di jalur yang benar selama 10 tahun ini 🙏🏻🙏🏻🙏🏻🙏🏻",Positif
siapa yang menangis sesugukan menonton maleficent? even sudah di rewatch berkali2? aku.,Negatif
this is the point.,Netral
3 point tapi the gunners,Netral
kobo is actually argentina 🇦🇷 sky blue &amp; white the sun means the bright weather as her job is tapi expell the rains vamos argentina 🇦🇷 messi goat 🐐,Netral
"di you try tapi sih things from their point of view as well orang di you try tapi memakai them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.",Netral
"gue sebenarnya malas berteman dengan orang yang homophobic(+transphobic) &amp; all around benci feminisme+sosialisme. tapi, berhubung mereka baik sama gue &amp; kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan.",Negatif
"tft, happy banget healing nya ditemenin.....",Positif
hey furu fam! which superhero is your most favorite one? mine is spiderman!! because he somehow relates tapi our teenage life and i like his suit as well!! i dedicated this mosu kali spiderman = spidermosu! ****,Netral
main close friend tapi bukan berarti bisa share anything.. namanya manusia ya even sahabat sekalipun bisa jadi dajjal kalo di ksi kesmpatan.,Negatif
"the question is : is indonesia still get easily an eastern military equipment such as from russia? all companies that related tapi russia now has sanctioned by u.s. which mean small possibility tapi get mor equipment from 🇷🇺, especially export ""downgrade"" of su-35k kommercheskiy",Netral
bos aku sudah mengadakan tour healing tapi teman kerja pada enggak mau liburan memang aneh temen2ku ini :(,Negatif
self healing self healing matamu a,Negatif
"gara-gara buka line malah flashback, buka ig kok enggak ada foto berduanya. overthinking.. kenapa nih",Negatif
"immerse ini the tropical paradise🌴🥥 which one is your favorite? 1, 2, orang 3? @ nusa penida bali",Netral
salah jam overthinking,Negatif
overthinking lagi?,Negatif
pumya seseorang yang langsung paham tanpa kepo masalah gue memang debest sih,Positif
"tidak hanya pernikahan, overworking saja sudah bisa bikin kita enggak ada waktu buat temen. kuncinya cuma satu, you have a support system. simpel aja, suami paham kalo istrinya juga butuh kebebasan berkawan. kalo kamu punya ini, pernikahan aman, persahabatan jalan.",Negatif
duar langsung overthinking,Negatif
capek begadang terus gara-gara overthinking:(,Negatif
you know? i think its time tapi trust my instict even more.,Netral
"pernah cari makan malam sama crush dari rumah ke sumber, manahan, balaikota,mojosongo, ujung2nya cuman makan 1 kamu dekat rumah wkwkw.",Netral
"curhat chanyeol ke mas crush jdnya begituu, antara sedih tapi mau ngakak🙂",Netral
overthinking itu nyiksaaaaa,Negatif
boleh lah staycation bareng ke bali,Netral
careful! $xrp is getting pumped by a group with 180.000 members. i did not even know this was possible! they also pumped $eth and $btc. they will pump again tomorrow!,Netral
"score aside, i actually like the feisty-ness of the players. that being said, our options ini front are pathetic",Positif
healing mendengarkan suara jamur,Netral
staycation di akhir ppkm level 4,Netral
"sungguh, tempat ternyaman saat ini buat self healing",Positif
tahun baru kemana aja? me: really fcking me: for fcking shake this nya does not even memakai some hype:,Negatif
enggak bisa bobok bestie,Netral
healing nya ke warunk:3,Positif
"[tuban 30°c] selamat siang …nasi jagung - literally translated as corn rice - looks like couscous, but made of corn and has finer grains.🌞 @ maibit",Netral
kaget bestie baru bangun tidur nct dream cmbk,Positif
cuma takut sama diri sendiri takut sudah enggak sanggup overthinking tiap hari.,Negatif
finally got a place where i can di whatever i want,Positif
should yall be concerned with the friends whos actually cepuin itu story too? theyre low-key snake,Negatif
we graduated together bestie 🐨🐣,Positif
"gradually, slowly but surely, will definitely get good results. постепенно, медленно, но верно, обязательно добьетесь хороших результатов.",Positif
self healing terbaik,Positif
even the fools know nothing is forever~,Netral
"staycation di bogor memang selalu menyenangkan, selain banyak kuliner makanan disini juga sering turun hujan 💙",Positif
me: all day wandering around the realm of idiots,Negatif
"healing yang paling ideal adalah ""ketiban"" duit banyak, jajanin ortu, dan travelling keliling indonesia.",Positif
"lagi rame, gaslighting 🚀",Negatif
kondangan sendiri ✅ makan ayce sendiri ✅ jalan-jalan sendiri ✅ staycation sendiri ✅ ngopi sendiri ✅ tinggal menonton bioskop sendiri saja belum,Positif
rekomendasi film horror **** bestie,Netral
"manifesting menang cipar, disponsori kantor ke bali 😭",Positif
"ya allah, aku masih menunggu kiriman black/tuxedo kitten yang sehat lincah aktif bisa makan minum pup sendiri dan clingy ya. (doa spesifik) 😂",Positif
"page 365 of 365 bisa jadi tahun yang baik, tapi tetap harus di syukuri. banyak cobaan bgt, mulai positive covid, kuliah semester akhir, proposal dan skripsi yang luar biasa buat puyeng, menangis-nangis tiap malam karena overthinking terus""an. tapi gapapa, tetap di syukuri sj. terima kasih ya, 2021",Positif
"kalo memang aku salah, harusnya dia tuh bilang begitu apa salah aku, supaya aku enggak overthinking dan berpikiran kemana-kemana.",Negatif
"actually showering cost 5min, else (inc desire) cost an hour",Netral
"i dont know if this will be my goal ini life orang just typing, but i will enjoy the world while get rich orang die tryin",Positif
"oyasuminasai .. ayuchan ... selamat beristirahat .. 😴😴😴.. jaga kesehatan selalu .. jangan lupa sempatkan olahraga atau yoga🧘 di weekend , agar badan kamu sehat 💪💪💪 .. dan .. please ... besok &amp; hari minggu tetap usahain online ya di twitter 🙏🙏",Positif
our 1% mau not even be billionaires...,Netral
pulang kampung sambil liburan 🤪,Positif
i hate tapi be relatable but-- yeah,Negatif
"akhirnya ""nonton film"" disela nugas.. enggak berani padahal takut kedistract nagih, tapi gara-gara spoiler jadi kepo haha 90/100 laaa buat kale🥰",Positif
apa hukumnya buat doi yang sudah peka sama kodean kita tapi tetap bodoamat. perlu dijadikan opor buat lebaran kah bestie?,Negatif
did you really even come tapi bali if you didn’t take a million photos ini your private villa’s pool? no? just me then? 😂 #****,Netral
"oh right, sok is the band called mas 0094 orang onewe? is the fandom l🌸vers orang weve then? no wonder even the fandom name is about tapi get stolen :/ rather tahan fight for own fandom name, you choose tapi fight your brother group. right we r family after all~ /s",Positif
terimakasih kepada seluruh pihak yang telah ikut menyukseskan healing juli sebelum plp,Positif
"whatever you do, thank you",Positif
gagal staycation di jogja. gara² aturan libur yang mencla mencle 😭,Negatif
yang dibutuhkan saat long weekend sekarang: healing sama bestie di bobocabin 🥺✨,Positif
pengin muntah langsungan overthinking 🤮,Negatif
"bestie rasa dulur gendeng moro-moro telpon suarane pelat karo nanges. enakno slur miber e, ojok balek sebelom 4d karo ketemu budha",Positif
"when the time comes, i want you tapi be my wife. walking with you ini the heat and rain, running around and laugh 🙃",Positif
orang-orang mbak somehow muka2nya setipe begitu deh. rapih2,Positif
"dalam hati said: enak ya jadi mereka bisa jalan kemana mana,bisa havefun,bisa ngerasaain healing. tapi badan ini maunya rebahan mulu😌",Negatif
im not surprised actually~ seoho is just being 😂,Netral
"the pygmalion effect, orang rosenthal effect, is a psychological phenomenon ini which high expectations lead tapi improved performance ini a given area. the effect is named for the greek myth of pygmalion, the sculptor who fell sok much ini love with the perfectly beautiful statue",Netral
kelapa muda,Netral
"i randomly take my own poison, while i never knew that i choose itu randomly too because my mind is too noisy tapi bear. here i am, floundering like a nearly dead fish ini the middle of dry vast lake~",Negatif
kita bukan bestie 🤡,Negatif
"disini mah, dibawah jam 11 malam sudah ngantuk dan sudah tidur. coba kalo dijogja jam segitu masih kuat melek sampai jam 1. faedah banget sekalian healing kalo pulkam tuh😊😊",Positif
"sudah pernah merasai nyeterika sambil overthinking belum? kalo belum, mencoba deh... rasanya, aaaahhhh, mantap!!!!! wkwkwk",Negatif
cek shira media - self- healing by thought force - william atkinson dengan harga rp28.080. dapatkan di shopee sekarang!,Netral
"sumpahhh garcia siapa ji ini asli sih overthinking berlebihan malam ini,garcia siapa sih kenapa ada apa aduhhhh mantan apa keluarga apa orang jahat apa yang menghancurkan karir ji apa bagaimana deg deg an njirrr.",Negatif
4th bersama bestie.. 👯‍♂️,Netral
"and now 2021 has officially left us, while 2022 has officially come.",Netral
menunggu ayam panggang klaten datang. literally!,Netral
"i sama ini the whitelist competition! 1.4 million+ holders and only 10,000 nfts! this could be the next viral nft, while 1 entry will win $50k usdt! plus itu helps enter at",Netral
bertemu mantan yang sudah menjadi bestie,Netral
"not even a real touch, just touch screen with fake promised and future. at the end, you only hv her grandmother as the only choice. even idiots ini usah could married better wmn without obligations tapi understanding forever",Negatif
overthinking enggak jelas berkedok insomnia🥴,Negatif
"lagi asik2 ig an, tiba-tiba ada pop up sms, wis panik kok moro2 paketane habis, overthinking, pas dibuka penuh ternyitii hmm",Negatif
paling malas kalau naik taksi online kepo banget drivernya nanya-nanya kerja lah apalah.,Negatif
no one: literally no one: mama: kok tadi mama enggak lihat malkis ya. kan belum nggendong sebelum pergi.,Netral
"⚠️yang pernah ghosthing ini gua⚠️bersyukur deh lu pada masih hidup tenang, kagak gua spill kelakuan lu yang ghosting ke guagausah sok kecakepan lo, muka juga mulus gua daripada lo. untung2 an lu gua menerima lu apa adanya, gua bawa perasaan sama lo, menerima segala kekurangan lo",Negatif
"pulang dari tongkrongan happy, pas di tempat tidur kok jadi overthinking",Negatif
